"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 07:16:37 GMT 2025","Fri Aug 15 07:16:38 GMT 2025","1554","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Aug 15 07:16:42 GMT 2025","Fri Aug 15 07:16:45 GMT 2025","3113","LMS system","Courses","Courses","","","Edit an existing course",""
"passed","Fri Aug 15 07:16:33 GMT 2025","Fri Aug 15 07:16:35 GMT 2025","1938","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 15 07:16:46 GMT 2025","Fri Aug 15 07:16:47 GMT 2025","1588","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Aug 15 07:16:42 GMT 2025","Fri Aug 15 07:16:45 GMT 2025","2866","LMS system","Courses","Courses","","","Create a new course",""
"passed","Fri Aug 15 07:16:33 GMT 2025","Fri Aug 15 07:16:35 GMT 2025","1952","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 15 07:16:39 GMT 2025","Fri Aug 15 07:16:40 GMT 2025","1724","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Aug 15 07:16:35 GMT 2025","Fri Aug 15 07:16:37 GMT 2025","1472","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 15 07:16:40 GMT 2025","Fri Aug 15 07:16:42 GMT 2025","1456","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Aug 15 07:16:35 GMT 2025","Fri Aug 15 07:16:38 GMT 2025","3081","LMS system","Authentication","Authorization","","","User login with correct email or password",""
