"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2262","Edit an existing course","LMS system","Tue Aug 12 13:28:39 MSK 2025","passed","Tue Aug 12 13:28:41 MSK 2025","Courses","Courses","",""
"","8161","Check displaying of dashboard page","LMS system","Tue Aug 12 13:28:58 MSK 2025","passed","Tue Aug 12 13:29:06 MSK 2025","Dashboard","Dashboard","",""
"","3107","Edit an existing course","LMS system","Tue Aug 12 13:28:51 MSK 2025","passed","Tue Aug 12 13:28:54 MSK 2025","Courses","Courses","",""
"","1625","User login with wrong email or password","LMS system","Tue Aug 12 13:27:14 MSK 2025","passed","Tue Aug 12 13:27:16 MSK 2025","Authorization","Authentication","",""
"","1404","User login with wrong email or password","LMS system","Tue Aug 12 13:27:08 MSK 2025","passed","Tue Aug 12 13:27:10 MSK 2025","Authorization","Authentication","",""
"","1685","User login with wrong email or password","LMS system","Tue Aug 12 13:27:06 MSK 2025","passed","Tue Aug 12 13:27:08 MSK 2025","Authorization","Authentication","",""
"","1959","Check displaying of empty courses list","LMS system","Tue Aug 12 13:28:22 MSK 2025","passed","Tue Aug 12 13:28:23 MSK 2025","Courses","Courses","",""
"","16916","User login with correct email or password","LMS system","Tue Aug 12 13:27:32 MSK 2025","passed","Tue Aug 12 13:27:49 MSK 2025","Authorization","Authentication","",""
"","1786","Navigation from login page to registration page","LMS system","Tue Aug 12 13:27:57 MSK 2025","passed","Tue Aug 12 13:27:59 MSK 2025","Authorization","Authentication","",""
"","1619","User login with wrong email or password","LMS system","Tue Aug 12 13:27:12 MSK 2025","passed","Tue Aug 12 13:27:14 MSK 2025","Authorization","Authentication","",""
"","2567","User login with wrong email or password","LMS system","Tue Aug 12 13:27:23 MSK 2025","passed","Tue Aug 12 13:27:25 MSK 2025","Authorization","Authentication","",""
"","2107","Create a new course","LMS system","Tue Aug 12 13:28:24 MSK 2025","passed","Tue Aug 12 13:28:26 MSK 2025","Courses","Courses","",""
"","1901","User login with wrong email or password","LMS system","Tue Aug 12 13:27:19 MSK 2025","passed","Tue Aug 12 13:27:21 MSK 2025","Authorization","Authentication","",""
"","1989","Navigation from login page to registration page","LMS system","Tue Aug 12 13:28:00 MSK 2025","passed","Tue Aug 12 13:28:02 MSK 2025","Authorization","Authentication","",""
"","2133","User login with wrong email or password","LMS system","Tue Aug 12 13:27:16 MSK 2025","passed","Tue Aug 12 13:27:18 MSK 2025","Authorization","Authentication","",""
"","2788","Registration with correct email, username and password","LMS system","Tue Aug 12 13:28:10 MSK 2025","passed","Tue Aug 12 13:28:13 MSK 2025","Registration","Authentication","",""
"","3435","User login with correct email or password","LMS system","Tue Aug 12 13:27:50 MSK 2025","passed","Tue Aug 12 13:27:54 MSK 2025","Authorization","Authentication","",""
"","1759","Registration with correct email, username and password","LMS system","Tue Aug 12 13:28:02 MSK 2025","passed","Tue Aug 12 13:28:04 MSK 2025","Registration","Authentication","",""
"","1738","User login with wrong email or password","LMS system","Tue Aug 12 13:27:27 MSK 2025","passed","Tue Aug 12 13:27:29 MSK 2025","Authorization","Authentication","",""
"","1695","Check displaying of empty courses list","LMS system","Tue Aug 12 13:28:15 MSK 2025","passed","Tue Aug 12 13:28:17 MSK 2025","Courses","Courses","",""
"","2156","Navigation from login page to registration page","LMS system","Tue Aug 12 13:27:54 MSK 2025","passed","Tue Aug 12 13:27:57 MSK 2025","Authorization","Authentication","",""
"","6917","Create a new course","LMS system","Tue Aug 12 13:28:27 MSK 2025","passed","Tue Aug 12 13:28:34 MSK 2025","Courses","Courses","",""
"","1839","Check displaying of dashboard page","LMS system","Tue Aug 12 13:29:07 MSK 2025","passed","Tue Aug 12 13:29:09 MSK 2025","Dashboard","Dashboard","",""
"","6972","Edit an existing course","LMS system","Tue Aug 12 13:28:42 MSK 2025","failed","Tue Aug 12 13:28:49 MSK 2025","Courses","Courses","",""
"","4156","Registration with correct email, username and password","LMS system","Tue Aug 12 13:28:05 MSK 2025","passed","Tue Aug 12 13:28:09 MSK 2025","Registration","Authentication","",""
"","1804","User login with wrong email or password","LMS system","Tue Aug 12 13:27:10 MSK 2025","passed","Tue Aug 12 13:27:12 MSK 2025","Authorization","Authentication","",""
"","2224","Check displaying of dashboard page","LMS system","Tue Aug 12 13:28:55 MSK 2025","passed","Tue Aug 12 13:28:57 MSK 2025","Dashboard","Dashboard","",""
"","2407","Create a new course","LMS system","Tue Aug 12 13:28:36 MSK 2025","passed","Tue Aug 12 13:28:38 MSK 2025","Courses","Courses","",""
"","2055","Check displaying of empty courses list","LMS system","Tue Aug 12 13:28:18 MSK 2025","passed","Tue Aug 12 13:28:20 MSK 2025","Courses","Courses","",""
"","2279","User login with correct email or password","LMS system","Tue Aug 12 13:27:29 MSK 2025","passed","Tue Aug 12 13:27:32 MSK 2025","Authorization","Authentication","",""
